algorithm,collection,dataset,algo_training_type,algo_input_dimensionality,dataset_training_type,dataset_input_dimensionality,status,hyper_params_id,repetition,hyper_params,train_main_time,train_preprocess_time,train_postprocess_time,execute_main_time,execute_preprocess_time,execute_postprocess_time,ROC_AUC,RANGE_PR_AUC,BestF1Score,FalseNegativeRate,PR_AUC,result_path,BestF1MinusFNR
DeepAnT,OBSEA,2023-01-12,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,f1d3356f9300f17a84a6becaa8cf8758,1,"{'batch_size': 64, 'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'learning_rate': 0.001, 'prediction_window_size': 50, 'random_state': 42, 'split': 0.8, 'window_size': 50}",10812.562352657318,,,821.4150831699371,,0.0292601585388183,,0.9999999999999998,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_11_07_07_02/results.csv,
RobustPCA,OBSEA,2020-01-15,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4293618dd12c59117ac7a434fda4220a,2,{'random_state': 42},137.7272834777832,,,7.495624780654907,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_11_07_14_03/results.csv,
RobustPCA,OBSEA,2020-01-16,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},110.47798490524292,,,7.350257396697998,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_11_07_14_03/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-12-27,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,c8d37c7a26a5f51260539d3c90e37648,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",15.314826488494871,,,8.0106520652771,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_45/results.csv,
CBLOF,OBSEA,2020-01-10_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,1,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,14.115169048309326,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_17_32/results.csv,
CBLOF,OBSEA,2020-01-12_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,4,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,14.795306921005247,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_17_32/results.csv,
CBLOF,OBSEA,2020-01-13_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,1,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,14.743345499038696,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_17_32/results.csv,
CBLOF,OBSEA,2020-01-14_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,1,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,13.669216394424438,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_17_32/results.csv,
CBLOF,OBSEA,2020-01-11_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,2,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,14.285800695419312,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_17_32/results.csv,
CBLOF,OBSEA,2020-01-15_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,1,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,15.616480350494385,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_17_32/results.csv,
CBLOF,OBSEA,2020-01-17_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,4,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,14.72965121269226,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_17_32/results.csv,
CBLOF,OBSEA,2020-01-18_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,1,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,16.58236575126648,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_17_32/results.csv,
CBLOF,OBSEA,2020-01-16_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,1,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,14.700388431549072,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_17_32/results.csv,
AutoEncoder (AE),OBSEA,2021-12-27,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dc234b17555e618106e747494bd37087,3,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",19.54150629043579,,,10.18390154838562,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_46_31/results.csv,
DeepAnT,OBSEA,2020-01-22,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,f1d3356f9300f17a84a6becaa8cf8758,1,"{'batch_size': 64, 'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'learning_rate': 0.001, 'prediction_window_size': 50, 'random_state': 42, 'split': 0.8, 'window_size': 50}",10811.894755840302,,,135.53762459754944,,0.0050058364868164,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_05_31_19_02_29/results.csv,
AutoEncoder (AE),OBSEA,2021-12-31,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dfdc9a9fdc00b09d9d188aaabfa8f91c,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",20.25671625137329,,,10.232227563858032,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_46_31/results.csv,
CBLOF,OBSEA,2020-12-05_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,2,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,19.377589464187626,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_09_19_10/results.csv,
AutoEncoder (AE),OBSEA,2021-12-29,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,b98f98446ffdbf7f8a0cb80942138c22,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",20.23819828033448,,,10.587419986724854,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_46_31/results.csv,
AutoEncoder (AE),OBSEA,2021-12-28,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,b98f98446ffdbf7f8a0cb80942138c22,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",20.05741167068481,,,10.275069236755373,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_46_31/results.csv,
CBLOF,OBSEA,2020-12-07_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,2,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,16.11371898651123,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_09_19_10/results.csv,
AutoEncoder (AE),OBSEA,2020-01-19,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dfdc9a9fdc00b09d9d188aaabfa8f91c,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",19.055583715438843,,,8.123847723007202,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_12_10_10_28/results.csv,
AutoEncoder (AE),OBSEA,2021-12-25,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dfdc9a9fdc00b09d9d188aaabfa8f91c,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",22.60712623596192,,,8.177971363067627,,,,1.0000000000000002,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_42/results.csv,
AutoEncoder (AE),OBSEA,2021-12-26,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dfdc9a9fdc00b09d9d188aaabfa8f91c,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",20.71217536926269,,,8.461263656616211,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_42/results.csv,
AutoEncoder (AE),OBSEA,2023-10-10,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,b98f98446ffdbf7f8a0cb80942138c22,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",,,,,,,,,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_11_04_23_37/results.csv,
LOF,OBSEA,2023-05-20_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,1,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,20.08596992492676,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_20_31_44/results.csv,
PCC,OBSEA,2023-05-20_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,1,"{'random_state': 42, 'svd_solver': 'auto'}",,,,12.65540075302124,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_20_30_25/results.csv,
COPOD,OBSEA,2023-05-20_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},,,,16.157551765441895,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_20_30_28/results.csv,
AutoEncoder (AE),OBSEA,2020-01-22,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dfdc9a9fdc00b09d9d188aaabfa8f91c,5,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",18.21588945388794,,,7.723998069763184,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_12_10_10_28/results.csv,
CBLOF,OBSEA,2020-01-22_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,2,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,12.173704624176024,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_17_32/results.csv,
CBLOF,OBSEA,2020-01-19_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,5,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,14.703802108764648,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_17_32/results.csv,
CBLOF,OBSEA,2020-01-21_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,5,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,13.644278287887571,,,,1.0000000000000002,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_17_32/results.csv,
AutoEncoder (AE),OBSEA,2020-01-21,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dfdc9a9fdc00b09d9d188aaabfa8f91c,2,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",17.554789304733276,,,7.767659902572632,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_12_10_10_28/results.csv,
CBLOF,OBSEA,2020-11-30_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,1,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,20.145477056503296,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_17_32/results.csv,
RobustPCA,OBSEA,2020-12-05,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4293618dd12c59117ac7a434fda4220a,3,{'random_state': 42},100.50246906280518,,,8.98343276977539,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_11_11_51/results.csv,
CBLOF,OBSEA,2023-10-10_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,1,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,31.16683387756348,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_22_44_44/results.csv,
COPOD,OBSEA,2023-10-10_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},,,,19.468302488327023,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_22_44_44/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2020-01-19,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",14.139766216278076,,,7.905029296875,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_12_05_10_44/results.csv,
CBLOF,OBSEA,2020-11-28_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,1,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,12.71763825416565,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_17_32/results.csv,
CBLOF,OBSEA,2020-11-27_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,5,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,17.519753456115723,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_17_32/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2020-01-21,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4612c4e06ea4131330882ffd0a43444a,4,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",15.29393219947815,,,8.344111680984497,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_12_05_10_44/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2020-01-22,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",16.00143599510193,,,7.634874582290649,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_12_05_10_44/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-12-30,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",20.01076316833496,,,8.438772439956665,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_45/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-12-31,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",19.248141050338745,,,8.251202583312988,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_45/results.csv,
AutoEncoder (AE),OBSEA,2023-01-12,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dc234b17555e618106e747494bd37087,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",33.053099632263184,,,11.490406036376951,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_18_57_39/results.csv,
PCC,OBSEA,2023-10-10_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,1,"{'random_state': 42, 'svd_solver': 'auto'}",,,,16.224382877349854,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_22_44_40/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-12-28,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",24.55035829544068,,,8.271730184555054,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_45/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-12-29,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,c8d37c7a26a5f51260539d3c90e37648,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",28.951639890670776,,,8.39344835281372,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_45/results.csv,
CBLOF,OBSEA,2020-12-02_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,2,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,17.43117904663086,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_17_32/results.csv,
RobustPCA,OBSEA,2020-12-07,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4293618dd12c59117ac7a434fda4220a,2,{'random_state': 42},141.9496898651123,,,7.559640884399414,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_11_11_51/results.csv,
HBOS,OBSEA,2023-05-20_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,1,"{'n_bins': 20, 'random_state': 42}",,,,13.66198992729187,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_20_31_35/results.csv,
AutoEncoder (AE),OBSEA,2020-12-02,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dfdc9a9fdc00b09d9d188aaabfa8f91c,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",18.89108157157898,,,8.541083574295044,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_12_11_44_48/results.csv,
AutoEncoder (AE),OBSEA,2020-11-30,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dfdc9a9fdc00b09d9d188aaabfa8f91c,4,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",18.781862497329712,,,8.53848123550415,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_12_11_44_48/results.csv,
RobustPCA,OBSEA,2023-01-12,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},109.79424929618835,,,7.741309642791748,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/for_Oracle23_2/2024_07_12_11_31_45/results.csv,
